PROD_CODE,PROD_CODE_10,PROD_CODE_20,PROD_CODE_30,PROD_CODE_40
PRD0903578,CL00243,DEP00088,G00029,D00008
PRD0904090,CL00248,DEP00089,G00030,D00009
PRD0904355,CL00091,DEP00026,G00008,D00002
PRD0900851,CL00061,DEP00018,G00006,D00002
PRD0900366,CL00098,DEP00031,G00008,D00002
PRD0904247,CL00233,DEP00083,G00028,D00008
PRD0902809,CL00212,DEP00070,G00022,D00005
PRD0904957,CL00227,DEP00079,G00025,D00006
PRD0900844,CL00099,DEP00032,G00009,D00002
PRD0900817,CL00119,DEP00043,G00012,D00003
PRD0900251,CL00061,DEP00018,G00006,D00002
PRD0902580,CL00171,DEP00057,G00017,D00004
PRD0901877,CL00169,DEP00056,G00017,D00004
PRD0904663,CL00212,DEP00070,G00022,D00005
PRD0901010,CL00239,DEP00085,G00028,D00008
PRD0902022,CL00212,DEP00070,G00022,D00005
PRD0903310,CL00186,DEP00062,G00018,D00004
PRD0902420,CL00061,DEP00018,G00006,D00002
PRD0902757,CL00093,DEP00028,G00008,D00002
PRD0902422,CL00186,DEP00062,G00018,D00004
PRD0904094,CL00091,DEP00026,G00008,D00002
PRD0901205,CL00213,DEP00070,G00022,D00005
PRD0903691,CL00061,DEP00018,G00006,D00002
PRD0903427,CL00185,DEP00062,G00018,D00004
PRD0904384,CL00113,DEP00040,G00011,D00003
PRD0900724,CL00142,DEP00050,G00014,D00003
PRD0900571,CL00093,DEP00028,G00008,D00002
PRD0903517,CL00187,DEP00062,G00018,D00004
PRD0904880,CL00119,DEP00043,G00012,D00003
PRD0903327,CL00249,DEP00089,G00030,D00009
PRD0900636,CL00245,DEP00088,G00029,D00008
PRD0903236,CL00061,DEP00018,G00006,D00002
PRD0900786,CL00142,DEP00050,G00014,D00003
PRD0903764,CL00214,DEP00071,G00022,D00005
PRD0900435,CL00142,DEP00050,G00014,D00003
PRD0902584,CL00061,DEP00018,G00006,D00002
PRD0902392,CL00056,DEP00015,G00005,D00002
PRD0902880,CL00119,DEP00043,G00012,D00003
PRD0902266,CL00113,DEP00040,G00011,D00003
PRD0901950,CL00185,DEP00062,G00018,D00004
PRD0901852,CL00246,DEP00088,G00029,D00008
PRD0900426,CL00203,DEP00068,G00022,D00005
PRD0900891,CL00094,DEP00029,G00008,D00002
PRD0901687,CL00204,DEP00068,G00022,D00005
PRD0902777,CL00203,DEP00068,G00022,D00005
PRD0902373,CL00217,DEP00072,G00023,D00005
PRD0901703,CL00214,DEP00071,G00022,D00005
PRD0900434,CL00142,DEP00050,G00014,D00003
PRD0903029,CL00212,DEP00070,G00022,D00005
PRD0902153,CL00213,DEP00070,G00022,D00005
PRD0900358,CL00061,DEP00018,G00006,D00002
PRD0900293,CL00238,DEP00084,G00028,D00008
PRD0901064,CL00214,DEP00071,G00022,D00005
PRD0901962,CL00249,DEP00089,G00030,D00009
PRD0904018,CL00142,DEP00050,G00014,D00003
PRD0902236,CL00235,DEP00083,G00028,D00008
PRD0900478,CL00142,DEP00050,G00014,D00003
PRD0901128,CL00203,DEP00068,G00022,D00005
PRD0902071,CL00090,DEP00026,G00008,D00002
PRD0904938,CL00060,DEP00017,G00006,D00002
PRD0902713,CL00245,DEP00088,G00029,D00008
PRD0903288,CL00214,DEP00071,G00022,D00005
PRD0903363,CL00113,DEP00040,G00011,D00003
PRD0903097,CL00242,DEP00087,G00028,D00008
PRD0901621,CL00212,DEP00070,G00022,D00005
PRD0902067,CL00204,DEP00068,G00022,D00005
PRD0901174,CL00185,DEP00062,G00018,D00004
PRD0903973,CL00176,DEP00059,G00017,D00004
PRD0903455,CL00213,DEP00070,G00022,D00005
PRD0900113,CL00188,DEP00062,G00018,D00004
PRD0903166,CL00172,DEP00057,G00017,D00004
PRD0904328,CL00214,DEP00071,G00022,D00005
PRD0904061,CL00248,DEP00089,G00030,D00009
PRD0903879,CL00061,DEP00018,G00006,D00002
PRD0901886,CL00098,DEP00031,G00008,D00002
PRD0902303,CL00061,DEP00018,G00006,D00002
PRD0901741,CL00214,DEP00071,G00022,D00005
PRD0901822,CL00061,DEP00018,G00006,D00002
PRD0904077,CL00061,DEP00018,G00006,D00002
PRD0902742,CL00142,DEP00050,G00014,D00003
PRD0900674,CL00121,DEP00043,G00012,D00003
PRD0902472,CL00113,DEP00040,G00011,D00003
PRD0900858,CL00021,DEP00006,G00003,D00001
PRD0902309,CL00186,DEP00062,G00018,D00004
PRD0900982,CL00182,DEP00061,G00018,D00004
PRD0902965,CL00212,DEP00070,G00022,D00005
PRD0901590,CL00022,DEP00007,G00003,D00001
PRD0903322,CL00203,DEP00068,G00022,D00005
PRD0901831,CL00179,DEP00061,G00018,D00004
PRD0900439,CL00121,DEP00043,G00012,D00003
PRD0904865,CL00238,DEP00084,G00028,D00008
PRD0900398,CL00113,DEP00040,G00011,D00003
PRD0900154,CL00248,DEP00089,G00030,D00009
PRD0900795,CL00186,DEP00062,G00018,D00004
PRD0904394,CL00093,DEP00028,G00008,D00002
PRD0903549,CL00179,DEP00061,G00018,D00004
PRD0904305,CL00098,DEP00031,G00008,D00002
PRD0904735,CL00235,DEP00083,G00028,D00008
PRD0900518,CL00214,DEP00071,G00022,D00005
PRD0902630,CL00121,DEP00043,G00012,D00003
PRD0901752,CL00204,DEP00068,G00022,D00005
PRD0903608,CL00236,DEP00084,G00028,D00008
PRD0904345,CL00098,DEP00031,G00008,D00002
PRD0901112,CL00093,DEP00028,G00008,D00002
PRD0901652,CL00235,DEP00083,G00028,D00008
PRD0900735,CL00185,DEP00062,G00018,D00004
PRD0901671,CL00099,DEP00032,G00009,D00002
PRD0904164,CL00190,DEP00063,G00018,D00004
PRD0903977,CL00179,DEP00061,G00018,D00004
PRD0904515,CL00169,DEP00056,G00017,D00004
PRD0902611,CL00241,DEP00086,G00028,D00008
PRD0901653,CL00235,DEP00083,G00028,D00008
PRD0900083,CL00113,DEP00040,G00011,D00003
PRD0904252,CL00093,DEP00028,G00008,D00002
PRD0901235,CL00187,DEP00062,G00018,D00004
PRD0903493,CL00235,DEP00083,G00028,D00008
PRD0900277,CL00203,DEP00068,G00022,D00005
PRD0903703,CL00212,DEP00070,G00022,D00005
PRD0903615,CL00188,DEP00062,G00018,D00004
PRD0901211,CL00093,DEP00028,G00008,D00002
PRD0900997,CL00143,DEP00050,G00014,D00003
PRD0903381,CL00095,DEP00029,G00008,D00002
PRD0904590,CL00091,DEP00026,G00008,D00002
PRD0904411,CL00093,DEP00028,G00008,D00002
PRD0901803,CL00212,DEP00070,G00022,D00005
PRD0903287,CL00093,DEP00028,G00008,D00002
PRD0904662,CL00121,DEP00043,G00012,D00003
PRD0900423,CL00095,DEP00029,G00008,D00002
PRD0904644,CL00235,DEP00083,G00028,D00008
PRD0901482,CL00204,DEP00068,G00022,D00005
PRD0902921,CL00214,DEP00071,G00022,D00005
PRD0903237,CL00187,DEP00062,G00018,D00004
PRD0903579,CL00232,DEP00082,G00027,D00008
PRD0904527,CL00169,DEP00056,G00017,D00004
PRD0900773,CL00142,DEP00050,G00014,D00003
PRD0902180,CL00178,DEP00061,G00018,D00004
PRD0900454,CL00212,DEP00070,G00022,D00005
PRD0902811,CL00204,DEP00068,G00022,D00005
PRD0901879,CL00186,DEP00062,G00018,D00004
PRD0904139,CL00169,DEP00056,G00017,D00004
PRD0902156,CL00213,DEP00070,G00022,D00005
PRD0901210,CL00204,DEP00068,G00022,D00005
PRD0902117,CL00142,DEP00050,G00014,D00003
PRD0902061,CL00062,DEP00018,G00006,D00002
PRD0904988,CL00214,DEP00071,G00022,D00005
PRD0902698,CL00250,DEP00090,G00031,D00009
PRD0904890,CL00203,DEP00068,G00022,D00005
PRD0900345,CL00233,DEP00083,G00028,D00008
PRD0900133,CL00113,DEP00040,G00011,D00003
PRD0901760,CL00098,DEP00031,G00008,D00002
PRD0900977,CL00240,DEP00086,G00028,D00008
PRD0903218,CL00214,DEP00071,G00022,D00005
PRD0901754,CL00250,DEP00090,G00031,D00009
PRD0900855,CL00179,DEP00061,G00018,D00004
PRD0901196,CL00234,DEP00083,G00028,D00008
PRD0904751,CL00235,DEP00083,G00028,D00008
PRD0903573,CL00090,DEP00026,G00008,D00002
PRD0904392,CL00022,DEP00007,G00003,D00001
PRD0900825,CL00061,DEP00018,G00006,D00002
PRD0903178,CL00098,DEP00031,G00008,D00002
PRD0901411,CL00233,DEP00083,G00028,D00008
PRD0903380,CL00094,DEP00029,G00008,D00002
PRD0904626,CL00236,DEP00084,G00028,D00008
PRD0901055,CL00248,DEP00089,G00030,D00009
PRD0904711,CL00187,DEP00062,G00018,D00004
PRD0904559,CL00090,DEP00026,G00008,D00002
PRD0904610,CL00187,DEP00062,G00018,D00004
PRD0904854,CL00098,DEP00031,G00008,D00002
PRD0900352,CL00090,DEP00026,G00008,D00002
PRD0901423,CL00249,DEP00089,G00030,D00009
PRD0900590,CL00187,DEP00062,G00018,D00004
PRD0903702,CL00214,DEP00071,G00022,D00005
PRD0900575,CL00090,DEP00026,G00008,D00002
PRD0903045,CL00169,DEP00056,G00017,D00004
PRD0903529,CL00002,DEP00001,G00001,D00001
PRD0902993,CL00002,DEP00001,G00001,D00001
PRD0901861,CL00001,DEP00001,G00001,D00001
PRD0900254,CL00001,DEP00001,G00001,D00001
PRD0904478,CL00002,DEP00001,G00001,D00001
PRD0901577,CL00001,DEP00001,G00001,D00001
PRD0904511,CL00002,DEP00001,G00001,D00001
PRD0903469,CL00002,DEP00001,G00001,D00001
PRD0904501,CL00002,DEP00001,G00001,D00001
PRD0904945,CL00001,DEP00001,G00001,D00001
PRD0903788,CL00001,DEP00001,G00001,D00001
PRD0904441,CL00002,DEP00001,G00001,D00001
PRD0903643,CL00002,DEP00001,G00001,D00001
PRD0904421,CL00002,DEP00001,G00001,D00001
PRD0902492,CL00002,DEP00001,G00001,D00001
